         Token     ST position
          decl             -1
           int             -1
            id        (67, 0)
            :=             -1
         const        (39, 0)
             ;             -1
          decl             -1
           int             -1
            id        (67, 0)
            :=             -1
         const        (53, 0)
             ;             -1
          decl             -1
           int             -1
            id        (69, 0)
            :=             -1
         const        (54, 0)
             ;             -1
          decl             -1
           int             -1
            id       (163, 0)
             ;             -1
          cond             -1
             [             -1
            id        (67, 0)
            >=             -1
            id        (68, 0)
           and             -1
            id        (67, 0)
            >=             -1
            id        (69, 0)
             ]             -1
             {             -1
            id       (163, 0)
            :=             -1
            id        (67, 0)
             ;             -1
             }             -1
          cond             -1
             [             -1
            id        (68, 0)
            >=             -1
            id        (69, 0)
           and             -1
            id        (68, 0)
            >=             -1
            id        (67, 0)
             ]             -1
             {             -1
            id       (163, 0)
            :=             -1
            id        (68, 0)
             ;             -1
             }             -1
          cond             -1
             [             -1
            id        (69, 0)
            >=             -1
            id        (67, 0)
           and             -1
            id        (69, 0)
            >=             -1
            id        (68, 0)
             ]             -1
             {             -1
            id       (163, 0)
            :=             -1
            id        (69, 0)
             ;             -1
             }             -1
         print             -1
             [             -1
            id       (163, 0)
             ]             -1
